"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","降水量(mm)","降水時數(hr)","日照時數(hr)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","925.6","1540.7","11.3","10.5","95","2.8","350","11.3","280","1.0","0.2","...","0.00","...","0","..."
"02","925.4","1539.6","12.2","11.2","94","2.7","360","13.0","360","0.0","0.0","...","0.00","...","0","..."
"03","925.5","1541.0","12.5","11.2","92","2.2","290","10.2","10","0.0","0.0","...","0.00","...","0","..."
"04","925.4","1539.8","12.8","11.6","92","1.3","250","11.8","10","0.0","0.0","...","0.00","...","0","..."
"05","925.4","1540.4","13.0","11.5","91","1.6","240","9.8","360","0.5","0.9","...","0.00","15.0","0","10.0"
"06","926.0","1545.9","12.9","11.1","89","1.9","320","9.6","110","0.5","1.0","0.0","0.00","...","0","..."
"07","926.5","1550.1","12.6","10.7","88","1.9","270","7.9","360","T","1.0","0.0","0.00","...","0","..."
"08","926.8","1552.7","12.9","11.1","89","2.3","200","8.9","50","T","0.2","0.0","0.02","18.0","0","9.0"
"09","926.9","1554.5","13.7","11.3","85","1.8","V","8.2","180","0.0","0.0","0.0","0.31","18.0","1","7.0"
"10","926.7","1552.6","13.7","11.7","88","1.6","V","13.6","60","0.0","0.0","0.2","0.57","...","2","..."
"11","926.2","1547.8","14.3","11.3","82","4.7","180","13.1","160","0.0","0.0","0.1","0.72","20.0","3","7.0"
"12","925.4","1539.6","14.1","12.1","88","2.3","180","12.3","140","0.0","0.0","0.2","0.71","...","3","..."
"13","924.7","1532.7","14.4","12.1","86","3.0","160","12.1","100","0.0","0.0","0.0","0.39","...","1","..."
"14","924.4","1531.0","14.3","12.0","86","3.3","180","12.9","160","0.0","0.0","0.1","0.54","20.0","2","9.0"
"15","924.3","1529.7","13.7","11.6","87","1.8","180","10.8","220","T","0.1","0.0","0.04","...","0","..."
"16","924.5","1531.8","13.6","11.3","86","2.1","270","7.6","180","T","1.0","0.0","0.00","...","0","..."
"17","924.8","1534.9","13.7","11.3","85","1.9","180","8.3","230","T","0.4","0.0","0.00","20.0","0","10.0"
"18","924.8","1534.7","13.7","11.5","87","2.4","200","9.5","190","0.0","0.0","0.0","0.00","...","0","..."
"19","925.4","1540.1","13.9","12.1","89","2.6","160","11.3","110","0.0","0.0","0.0","0.00","...","0","..."
"20","925.6","1542.2","13.9","12.4","91","2.3","200","8.5","170","0.0","0.0","...","0.00","20.0","0","10.0"
"21","925.9","1545.8","13.8","12.3","91","2.5","180","10.4","130","T","0.6","...","0.00","20.0","0","10.0"
"22","926.0","1546.7","13.8","12.4","91","3.3","180","10.1","200","T","0.0","...","0.00","...","0","..."
"23","925.9","1546.6","13.8","12.6","92","2.4","200","11.2","140","0.5","0.0","...","0.00","...","0","..."
"24","925.5","1542.8","13.9","12.5","91","3.2","180","10.8","140","0.0","0.0","...","0.00","...","0","..."